,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery
141687,141687,Spain,"Smooth and full of apple flavors and aromas. Runs a bit sweet and easy, with pear notes poking through. Finishes mild enough, with lemon-lime and a hint of mineral and toast. Imported by Grapes of Spain.",Brut,86,13.0,Catalonia,Cava,,Sparkling Blend,1+1=3
141696,141696,Spain,"Offers all the requisite almond and dried stone fruits one could ask for. The spicy palate is racy as can be, with flavors of mushroom, almond, sea salt and white pepper. The finish is long and powerful, and overall it is a serious Sherry with no cracks or flaws. Imported by W. J. Deutsch & Sons.",Bailen Dry Oloroso,90,14.0,Andalucia,Jerez,,Sherry,Osborne
141699,141699,Spain,"Fat and dark, with tons of rubber, smoke, licorice and tobacco on the nose. Young and rowdy now, with a texture that's tight as a drum. Still, it exhibits fine cherry, blackberry and flowery characteristics. Comes from a hot zone within Priorat, so it's ripe even in a cool vintage. Imported by Michael Skurnik Wines.",Manyetes,89,,Catalonia,Priorat,,Red Blend,Clos Mogador
141701,141701,Spain,"Initially it's like a pungent strip of fresh-cut oak laid on a bed of leather, but airing reveals black cherry and blueberry flavors and a couple layers of warmth and style. Very nice weight and balance. A little oaky on the nose, but overall it's more than commendable. Imported by Vinamericas Selections.",Crianza,89,30.0,Northern Spain,Navarra,,Red Blend,Alzania
141703,141703,Spain,"Smooth and open, with pretty cherry, fudge and maple aromas. Rather zingy and stand-up on the palate, where big, rubbery tannins carry full-sized cherry and plum flavors. Finishes with grab and at least two waves of flavor and power. Drink through 2007. Imported by Vinum International.",Prior Criança,89,22.0,Catalonia,Priorat,,Grenache,Scala Dei
141706,141706,Spain,"Piercing and pungent, with a bit of alcohol on the nose as well as campfire smoke and citrus zest. Smoky and round on the palate, with big-time nuttiness and plenty of mushroom. A condensed, explosive Sherry that hits hard. Imported by CIV/USA.",30 Yr. Imperial Oloroso,89,90.0,Andalucia,Jerez,,Sherry,Bodegas Dios Baco S.L.
141709,141709,Spain,"One of the best of the region, with supreme concentration and style. It's mostly Syrah, and the color is piercing purple. On the nose, it's a touch granular and nutty at first, but eventually dark, meaty black fruit emerges. Tons of black cherry and heft on the palate, with a lasting, smoky finish. Reaches that higher level, although not quite as surely as the fabulous 2001. Imported by De Maison Selections, Inc.",El Bugader,89,60.0,Catalonia,Montsant,,Red Blend,Joan D'Anguera
141713,141713,Spain,"Dark in color, with round, malty aromas that run deep. The palate is a bit sweet as well as a bit sharp; think citrus mixed with caramel. And along with that there's pumpkin pie and allspice. Flavorful and nicely balanced. Imported by CIV/USA.",Oloroso,89,20.0,Andalucia,Jerez,,Sherry,Bodegas Dios Baco S.L.
141732,141732,Spain,"An Albariño-dominated middleweight with pure and pleasant aromas of pineapple, citrus and slate. Rich, round and defined, with orange, banana and melon flavors. Very much on the money, with curvy acids as opposed to spiky ones.",Condado de Tea,89,22.0,Galicia,Rías Baixas,,Albariño,Bouza Grande
141741,141741,Spain,"With its gold luster and strong aromas of fresh-cut wood, you know it's fully oaked. To that end, an overriding resiny scent melds with hints of flowers, melon and butterscotch. The palate kicks up applesauce and spice, while the finish is defined by dry oak and white pepper. Full-bodied and deserving of serious food.",Blanco,88,110.0,Galicia,Rías Baixas,,Albariño,Gran Veigadares
141879,141879,Spain,"A standard but solid Tempranillo is what you're looking at. The nose pushes red fruit and some American oak aromas like pickle and dill. The feel is fresh and young, but also a little fleshy and substantive. Finishes friendly and smooth.",,85,10.0,Northern Spain,Rioja,,Tempranillo,Darien
141886,141886,Spain,"Perfectly nice, but ultimately basic in its approach. The nose is initally dry and woodsy, with plenty of balsam. Later on, the palate reveals a previously unseen black cherry element, while the finish is crisp and lean. Drink now.",,85,11.0,Northern Spain,Rioja,,Tempranillo,Sierra Cantabria
141893,141893,Spain,The kick and acidic foundation of this crianza work in its favor. They balance some of the heavier elements and emphasize the berry core and also the finish. Is it narrow and limited? Yes. But it fits the traditional mold and doesn't disappoint.,Crianza,85,13.0,Northern Spain,Rioja,,Tempranillo,El Coto
141898,141898,Spain,"Spicy and reedy in an old-fashioned way. This wine represents traditional Riojano winemaking: it's tight, acidic and endowed with racy rhubarb, raspberry and dill flavors. Pretty full and big on the palate, with touches of green herb and spice on the finish.",Reserva,85,19.0,Northern Spain,Rioja,,Tempranillo,Marqués de la Concordia
141918,141918,Spain,"Waxy and sweet on the nose, with aromas of corn and cotton candy. Flavors best described as apple and lemon are weak, and the finishing notes are sour.",Blanco,80,8.0,Northern Spain,Rioja,,Viura,Montecillo
141939,141939,Spain,"Pedestrian yet entirely solid, with nice citrus and apple flavors. A very easy wine to understand, with seltzer and grapefruit on the finish along with a slight twinge of mushroom. Good cava that will go down easy. Imported by Admiral Wine Imports.",Brut,85,7.0,Catalonia,Cava,,Sparkling Blend,Fleur de Nuit
141952,141952,Spain,"Light aromas of petrol and lemon-lime are entirely correct for cava, and the palate pushes fresh fruit in the tangerine and grapefruit realm. Has a bit of heft and zap, with a dry, largely clean finish. Fine on its own; maybe better in a Spanish-style mimosa. Imported by CIV/USA.",Brut,85,9.0,Catalonia,Cava,,Sparkling Blend,Cristalino
141957,141957,Spain,"Clean but quiet aromas lead to sweet flavors, predominantly candied peach, cantaloupe and dried apricot. Fairly lively in the mouth, almost to the point of being too bubbly. Overall it tastes good even if it's jumpy. Imported by Iberian Wine Importers.",Semi Seco,85,12.0,Catalonia,Cava,,White Blend,Lacatus
141972,141972,Spain,"The nose deals dill, coconut, vanilla and a lot of plum and berry. Soft but not really, with a lively but plush palate that starts with cranberry and raspberry and then deepens to show chocolate and spice. More of a middleweight, but one packing punch; would be nice with roast lamb, etc. Imported by Vintage Wines Inc.",Gran Albina,89,35.0,Northern Spain,Rioja,,Tempranillo Blend,Bodegas Riojanas
141977,141977,Spain,"Dark as night, with smooth, deep aromas of earth, leather and black fruit. It's a blend of four fairly common red grapes, and together they yield pleasant plum, blackberry and other dark-fruit flavors. Sizable and tannic, but impressive for its clarity and simplicity. Imported by De Maison Selections, Inc.",Finca L'Argata,88,25.0,Catalonia,Montsant,,Red Blend,Joan D'Anguera
141986,141986,Spain,"Seductively rich, with blackberry and vanilla aromas. Ripe and chewy, with plum, vanilla and subtle spice in the background. Nice doses of licorice and bitter chocolate solidify the finish. Quite meaty and modern, if a bit pricy for a youngster from a hot year. Imported by Haro Imports.",Joven,88,13.0,Northern Spain,Ribera del Duero,,Tinto del Pais,Rubiejo
141988,141988,Spain,"A bit transparent in color, but only by Priorat standards. The nose, however, offers all the crusty, earthy red fruit you'd expect; it leads nicely into a palate of sweet cherry, plum and vanilla. Big enough on the finish, with mouthfeel galore. The full package from the town of La Vilella Alta, and not too tannic. Imported by Winebow.",Montgarnatx,88,45.0,Catalonia,Priorat,,Garnacha,Francesc Sanchez Bas
142006,142006,Spain,"Mature but not even close to expiring, with cola, root beer, tree bark and leather on the bouquet. Fairly acidic, which is why it has so much verve at 10+ years. Flavors of dried cherry, raspberry and citrus peel are classic in their attack. Very good in an Old World way. Imported by Palm Bay Imports.",Faustino de Autor Reserva Especial,88,50.0,Northern Spain,Rioja,,Tempranillo,Bodegas Faustino
142008,142008,Spain,"Cherry, earth and leather are nice opening notes, while some charred oak adds masculinity and depth. Almost syrupy in the mouth, with plenty of black cherry and chocolate to satisfy those with a sweet tooth. Exhibits nice core qualities. Imported by Five Star Imports.",Vall Por,88,13.0,Catalonia,Priorat,,Red Blend,Sangenís I Vaqué
142013,142013,Spain,"Clean, nutty and smooth, if a touch neutral on the nose. The palate pushes more nuts and distant white fruits, followed by a finish of fleur de sel and cashew butter. Slightly heavy but that's the style; like its sister manzanilla, this wine is very consistent year to year.",La Ina Fino,88,14.0,Andalucia,Jerez,,Sherry,Domecq
142014,142014,Spain,"Quite international in style, a direct reflection of the Merlot, Cabernet Sauvignon and Syrah components that comprise the wine. That said, this is probably the best wine Martinez Bujanda has made at its La Mancha winery; it's plump and ripe, with nice cherry and plum flavors. It's medium in weight and length, and juicy. Likable as can be. Imported by CIV/USA.",Reserva,88,15.0,Central Spain,La Mancha,,Red Blend,Finca Antigua
142022,142022,Spain,"Modern in terms of its forward oak, extraction and deep color. The nose is packed with charcoal, tobacco and pepper, while the fresh, forward palate pushes cherry cola and baked fruit. Firm tannins, however, close it down, leaving a clipped finish and the perception of only moderate depth. Decant to get best results.",Grans Muralles,88,98.0,Catalonia,Conca de Barberà,,Red Blend,Torres
142023,142023,Spain,"This Bordeaux-style blend features enticing aromas of molasses, licorice, leather and plum, and while the palate satisfies, it doesn't quite live up to the hype built by the bouquet. The feel is soft, as if the edges had slipped away. Still, it offers good mouthfeel and decent depth.",Reserva Real,88,150.0,Catalonia,Penedès,,Bordeaux-style Red Blend,Torres
142034,142034,Spain,"Aromas of dark fruits are distinct and defined, while hints of perfume soften the bullish, rather earthy nose. Classy berry fruit rests comfortably on the palate, while the feel is juicy and tight. Finishes strong, maybe a little sharp, but with full flavors. 100% Cabernet.",Finca la Planeta,88,46.0,Catalonia,Priorat,,Cabernet Sauvignon,Pasanau Germans
142140,142140,Spain,"CUNE is a throwback bodega whose wines won't appeal to followers of the new wave. And since I consider myself a backer of the modern style, I found this wine too obtuse, funky and borderline dirty to rate higher. It's full of mossy, stewy flavors and the feel is heavy. Traditionalist, however, may find it worthy of greater praise.",Imperial Gran Reserva,84,60.0,Northern Spain,Rioja,,Tempranillo,CVNE
142143,142143,Spain,"This wine is not up there with the bodega's top bottlings. It's rather sweet and soft, with mildly green and minty aromas. In the mouth, there's size and power but also a strong medicinal overtone that dampens the fiesta. In the end it's big and fruity but there's no sense of path or purpose.",Crianza,84,20.0,Northern Spain,Rioja,,Tempranillo,Consejo de la Alta
142144,142144,Spain,"Lemon-lime and ginger ale are the opening aromas, while the palate carries green melon and passion fruit flavors. Not terribly intense or complex, with a cider-like spritz to the mouthfeel and finish.",,84,10.0,Northern Spain,Rioja,,Viura,El Coto
142157,142157,Spain,"Vanilla, raisin and carob aromas announce a level of heft and overripeneness that is never lost or compensated for. It's a jammy, soft, well-aged specimen that doesn't have much life or kick. It does offer ripe, sweet berry flavors, however, and some molasses.",Gran Reserva,84,38.0,Northern Spain,Rioja,,Tempranillo Blend,Ramón Bilbao
